ID,Created,Feature Title,Feature Description,Compliance Label,Confidence Score,Reasoning Summary,Jurisdiction,Country,State,Domain,Applicable Regulations,Legal Citations,Human Override,Analysis Type
36,2025-08-31 01:21:06,Utah Social Media Age Verification System,"Parental consent system for Utah minors requiring verification before account creation, including time restrictions and parental access controls as required by Utah Social Media Regulation Act",compliant,0.9,This feature involves high-risk data processing Under US law (jurisdiction: US_UT) The Children's Online Privacy Protection Act applies because: • Parental consent for data collection from children under 13 The Utah Social Media Regulation Act applies because: • Parental consent for minors to create...,US_UT,US,UT,compliance_demonstration,Children's Online Privacy Protection Act | Utah Social Media Regulation Act,COPPA Section 312.3 (Verifiable parental consent) | COPPA Section 312.4 (Notice requirements) | Utah Social Media Regulation Act - General compliance requirements,No,enhanced_reasoning_demonstration
37,2025-08-31 01:21:06,GDPR Consent Collection for EU Users,"Explicit consent collection system for EU users covering data processing, tracking, and personalization activities with granular consent options and withdrawal mechanisms",compliant,0.9,This feature involves low-risk data processing Under European Union regulations The General Data Protection Regulation applies because: • Explicit consent for data processing • Right to data portability and deletion The feature includes consent mechanisms which aids compliance.,EU,EU,,compliance_demonstration,General Data Protection Regulation,GDPR Article 6 (Lawfulness of processing) | GDPR Article 7 (Conditions for consent) | GDPR Article 25 (Data protection by design),No,enhanced_reasoning_demonstration
38,2025-08-31 01:21:06,California SB976 Minor Protection Suite,"Comprehensive parental control dashboard with time limits, addictive design restrictions, and notification controls for California users under 18 as mandated by SB976",non-compliant,0.7,This feature involves high-risk data processing Under US law (jurisdiction: US_CA) The Children's Online Privacy Protection Act applies because: • Parental consent for data collection from children under 13 The California Consumer Privacy Act applies because: • Non-discrimination for exercising priv...,US_CA,US,CA,compliance_demonstration,Children's Online Privacy Protection Act | California Consumer Privacy Act | California Social Media Platform Safety Act (SB 976),COPPA Section 312.3 (Verifiable parental consent) | COPPA Section 312.4 (Notice requirements) | CCPA Section 1798.100 (Right to know) | CCPA Section 1798.105 (Right to delete) | California SB 976 Section 2 (Age verification) | California SB 976 Section 3 (Parental controls),No,enhanced_reasoning_demonstration
39,2025-08-31 01:21:06,NCMEC Automated Reporting System,Machine learning system for detecting and automatically reporting child sexual abuse material to NCMEC with evidence preservation and law enforcement cooperation,non-compliant,0.85,This feature involves high-risk data processing Under US law (jurisdiction: US) The Children's Online Privacy Protection Act applies because: • Parental consent for data collection from children under 13 • Notice to parents about data collection practices The National Center for Missing & Exploited ...,US,US,,compliance_demonstration,Children's Online Privacy Protection Act | National Center for Missing & Exploited Children Reporting,COPPA Section 312.3 (Verifiable parental consent) | COPPA Section 312.4 (Notice requirements) | National Center for Missing & Exploited Children Reporting - General compliance requirements,No,enhanced_reasoning_demonstration
40,2025-08-31 01:21:06,Florida Age Verification for Social Media,Age verification system preventing account creation for users under 14 in Florida with parental consent requirements and educational materials about social media risks,compliant,0.9,This feature involves low-risk data processing Under US law (jurisdiction: US_FL) The Children's Online Privacy Protection Act applies because: • Parental consent for data collection from children under 13 The Florida Online Protection for Minors Act applies because: • Age verification for social me...,US_FL,US,FL,compliance_demonstration,Children's Online Privacy Protection Act | Florida Online Protection for Minors Act,COPPA Section 312.3 (Verifiable parental consent) | COPPA Section 312.4 (Notice requirements) | Florida Online Protection for Minors Act - General compliance requirements,No,enhanced_reasoning_demonstration
41,2025-08-31 01:21:06,EU Digital Services Act Compliance Dashboard,"Transparent content moderation system with user appeal processes, risk assessments, and external auditing capabilities required under EU Digital Services Act",compliant,0.75,This feature involves low-risk data processing Under European Union regulations The General Data Protection Regulation applies because: • Privacy impact assessments for high-risk processing The Digital Services Act applies because: • Transparent content moderation processes • Risk assessment for sys...,EU,EU,,compliance_demonstration,General Data Protection Regulation | Digital Services Act,GDPR Article 6 (Lawfulness of processing) | GDPR Article 7 (Conditions for consent) | GDPR Article 25 (Data protection by design) | DSA Article 16 (Internal complaint-handling systems) | DSA Article 17 (Out-of-court dispute settlement),No,enhanced_reasoning_demonstration
35,2025-08-31 00:59:46,Feature from check_compliance,"Curfew login blocker with ASL and GH for Utah minors,""To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL ...",non-compliant,0.72,Mock compliance check: Data processing requires explicit consent,US,US,,compliance_analysis,,,No,check_compliance_analysis
34,2025-08-31 00:58:16,Feature from check_compliance,"Curfew login blocker with ASL and GH for Utah minors,""To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL ...",non-compliant,0.72,Mock compliance check: Data processing requires explicit consent,US,US,,compliance_analysis,,,No,check_compliance_analysis
26,2025-08-31 00:49:59,Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,media_sharing,,,No,batch_processing_analysis
27,2025-08-31 00:49:59,Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,content_moderation,,,No,batch_processing_analysis
28,2025-08-31 00:49:59,User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction The feature involves data processing requiring compliance review.,GLOBAL,,,child_safety,,,No,batch_processing_analysis
29,2025-08-31 00:49:59,Minor-safe chat expansion via Jellybean,"We’re expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.",compliant,0.7,This feature involves high-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,communication,,,No,batch_processing_analysis
30,2025-08-31 00:49:59,Friend suggestions with underage safeguards,"New suggestion logic uses PF to recommend friends, but minors are excluded from adult pools using ASL and CDS logic. EchoTrace logs interactions in case future policy gates are needed.",non-compliant,0.78,This feature involves high-risk data processing Under GLOBAL jurisdiction Special protections for minors must be implemented.,GLOBAL,,,child_safety,,,No,batch_processing_analysis
31,2025-08-31 00:49:59,Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock will apply if a flagged GIF is used by ASL-flagged profiles.",non-compliant,0.78,This feature involves high-risk data processing Under GLOBAL jurisdiction Special protections for minors must be implemented.,GLOBAL,,,child_safety,,,No,batch_processing_analysis
32,2025-08-31 00:49:59,Longform posts with age-based moderation,"Longform post creation is now open to all. However, moderation for underage authors is stricter via Snowcap.",non-compliant,0.78,This feature involves low-risk data processing Under GLOBAL jurisdiction Special protections for minors must be implemented.,GLOBAL,,,child_safety,,,No,batch_processing_analysis
33,2025-08-31 00:49:59,Custom avatar system with identity checks,"Users can now design custom avatars. For safety, T5 triggers block adult-themed assets from use by underage profiles. Age detection uses ASL and logs flow through GH.",compliant,0.82,This feature involves low-risk data processing Under GLOBAL jurisdiction Special protections for minors must be implemented.,GLOBAL,,,child_safety,,,No,batch_processing_analysis
17,2025-08-31 00:49:58,New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.",compliant,0.7,Feature appears to meet general compliance requirements,GLOBAL,,,platform_feature,Platform General Terms,Platform General Terms,No,batch_processing_analysis
18,2025-08-31 00:49:58,Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,compliant,0.7,Feature appears to meet general compliance requirements,GLOBAL,,,platform_feature,Platform General Terms,Platform General Terms,No,batch_processing_analysis
19,2025-08-31 00:49:58,Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.",compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,child_safety,,,No,batch_processing_analysis
20,2025-08-31 00:49:58,Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,platform_feature,,,No,batch_processing_analysis
21,2025-08-31 00:49:58,Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.",compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction The feature involves data processing requiring compliance review.,GLOBAL,,,child_safety,,,No,batch_processing_analysis
22,2025-08-31 00:49:58,Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.",compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,media_sharing,,,No,batch_processing_analysis
23,2025-08-31 00:49:58,South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,compliant,0.75,This feature involves low-risk data processing Under KR jurisdiction,KR,KR,,platform_feature,,,No,batch_processing_analysis
24,2025-08-31 00:49:58,Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.",non-compliant,0.78,This feature involves high-risk data processing Under GLOBAL jurisdiction Special protections for minors must be implemented.,GLOBAL,,,child_safety,,,No,batch_processing_analysis
25,2025-08-31 00:49:58,Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context i...",non-compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,child_safety,,,No,batch_processing_analysis
8,2025-08-31 00:49:57,Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to...",compliant,0.85,Feature includes appropriate safeguards for minors with consent mechanisms,US_FL,US,FL,child_safety,General US Privacy Laws,General US Privacy Laws,No,batch_processing_analysis
9,2025-08-31 00:49:57,Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanne...",non-compliant,0.75,Data processing requires explicit user consent under applicable regulations,GLOBAL,,,data_governance,Platform General Terms,Platform General Terms,No,batch_processing_analysis
10,2025-08-31 00:49:57,NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.",compliant,0.7,Feature appears to meet general compliance requirements,GLOBAL,,,content_moderation,Platform General Terms,Platform General Terms,No,batch_processing_analysis
11,2025-08-31 00:49:57,T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH r...",compliant,0.7,Feature appears to meet general compliance requirements,GLOBAL,,,content_moderation,Platform General Terms,Platform General Terms,No,batch_processing_analysis
12,2025-08-31 00:49:57,Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.",non-compliant,0.78,Feature affects minors but lacks explicit consent or safety mechanisms,GLOBAL,,,child_safety,Platform General Terms,Platform General Terms,No,batch_processing_analysis
13,2025-08-31 00:49:57,Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.",compliant,0.7,Feature appears to meet general compliance requirements,GLOBAL,,,platform_feature,Platform General Terms,Platform General Terms,No,batch_processing_analysis
14,2025-08-31 00:49:57,Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.",compliant,0.7,Feature appears to meet general compliance requirements,GLOBAL,,,platform_feature,Platform General Terms,Platform General Terms,No,batch_processing_analysis
15,2025-08-31 00:49:57,Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,non-compliant,0.75,Data processing requires explicit user consent under applicable regulations,GLOBAL,,,platform_feature,Platform General Terms,Platform General Terms,No,batch_processing_analysis
16,2025-08-31 00:49:57,Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,compliant,0.7,Feature appears to meet general compliance requirements,GLOBAL,,,child_safety,Platform General Terms,Platform General Terms,No,batch_processing_analysis
4,2025-08-31 00:49:56,Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement throug...",compliant,0.85,Feature includes appropriate safeguards for minors with consent mechanisms,US_UT,US,UT,child_safety,Utah Social Media Regulation Act,Utah Social Media Regulation Act,No,batch_processing_analysis
5,2025-08-31 00:49:56,PF default toggle with NR enforcement for California teens,"As part of compliance with California’s SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental ...",compliant,0.7,Feature appears to meet general compliance requirements,US_CA,US,CA,child_safety,California SB976,California SB976,No,batch_processing_analysis
6,2025-08-31 00:49:56,Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-gen...",non-compliant,0.78,Feature affects minors but lacks explicit consent or safety mechanisms,US,US,,child_safety,US NCMEC Reporting Requirements | US Federal Child Protection Laws,US NCMEC Reporting Requirements | US Federal Child Protection Laws,No,batch_processing_analysis
7,2025-08-31 00:49:56,Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft S...",compliant,0.7,Feature appears to meet general compliance requirements,EU,EU,,content_moderation,EU Digital Services Act,EU Digital Services Act,No,batch_processing_analysis
1,2025-08-31 00:43:24,User Data Collection Feature,Feature that collects user behavioral analytics for personalized recommendations,non-compliant,0.92,Feature lacks explicit user consent for behavioral tracking under GDPR,EU,DE,Berlin,data_collection,GDPR Article 6 | GDPR Article 7 | CCPA Section 1798.100,GDPR Article 6 | GDPR Article 7 | CCPA Section 1798.100,No,data_collection
2,2025-08-31 00:43:24,Location tracking for delivery optimization,Location tracking for delivery optimization,compliant,0.85,Location data used for legitimate business purpose with user consent,US_CA,US_CA,,,,CCPA 1798.140(o) | Business Purpose Exception,No,location_tracking
3,2025-08-31 00:43:24,Updated Feature Title,Updated comprehensive feature description with more details,non-compliant,0.95,Updated rationale after deeper analysis,US,DE,Bavaria,,GDPR Article 5 | GDPR Article 6,,1,analysis
